;;en;
0;54;54 Maintenance;
0;56;56 Business Systems and Engineering;
0;59;59 Technical Services;
0;69;69 LHPP Project;
0;72;72 Leach Plant;
0;76;76 Refinery;
0;80;80 IT;
0;82;82 Finance;
0;84;84 Site Services;
0;85;85 Environment Health and Safety;
1;88;88 LHO General;
1;NIL;Other - Not in List;
1;VCO;VBN - Corporate;
1;VPO;VBN - Project Office;
